Nombre Asignatura;Nota 1er Corte;Nota 2do Corte;Nota 3er Corte;Nota 4to Corte;Nota 5to Corte
ÁLGEBRA LINEAL;5;4.7;5;4.9;4.2
ÁLGEBRA LINEAL;5;4.1;3.7;4.8;4.4
ÁLGEBRA LINEAL;3.9;3;3.8;3;3.8
ÁLGEBRA LINEAL;4.3;4.1;4.7;5;5
ÁLGEBRA LINEAL;4.1;4.7;5;5;3.5
ÁLGEBRA LINEAL;3.1;4.6;4.1;4.7;2.7
ÁLGEBRA LINEAL;2.6;1.8;3.8;4.9;1.4
ÁLGEBRA LINEAL;1.2;2;4;4.8;1.5
ÁLGEBRA LINEAL;5;4.7;4.5;5;5
ÁLGEBRA LINEAL;3;3;3.5;4.7;1.8
ÁLGEBRA LINEAL;3.2;4.5;4.2;4.7;3.5
ÁLGEBRA LINEAL;4.6;4.5;4.7;5;4.5
ÁLGEBRA LINEAL;1.6;2;3.9;4.8;2.3
ÁLGEBRA LINEAL;1.8;2.1;4.2;4.3;3.1
ÁLGEBRA LINEAL;2.4;4.2;4.6;4.9;3.2
ÁLGEBRA LINEAL;3;3;3;4.8;2.8
ÁLGEBRA LINEAL;3.2;2.7;4.3;4.8;2.7
ÁLGEBRA LINEAL;3.3;3.5;4.7;4.7;3.8
ÁLGEBRA LINEAL;2.2;3.3;3.7;4.9;2.3
ÁLGEBRA LINEAL;3.3;3;4.4;5;2.5
ÁLGEBRA LINEAL;3.3;3;4.1;4.4;2.7
ÁLGEBRA LINEAL;1.4;1.8;3.4;4.4;1.5
ÁLGEBRA LINEAL;2.2;3.1;3.8;4.9;2.6
ÁLGEBRA LINEAL;3.4;0;0;5;0
ÁLGEBRA LINEAL;2.5;1.8;3.2;4.4;2.3
ÁLGEBRA LINEAL;0.3;0.5;0;0;0
ÁLGEBRA LINEAL;1.9;3.9;4;4.9;3.8
ÁLGEBRA LINEAL;3.8;3.4;4.8;4.8;4.4
ÁLGEBRA LINEAL;3.1;4;3.5;4.9;3.4
ÁLGEBRA LINEAL;3.1;3.5;4.1;4.9;3.8
ÁLGEBRA LINEAL;2;3;2;5;3.3
ÁLGEBRA LINEAL;4.7;3.9;5;5;4.6
ÁLGEBRA LINEAL;3.5;3.5;2.8;4.9;2.5
ÁLGEBRA LINEAL;3.3;2.8;4.4;4.8;3
ÁLGEBRA LINEAL;4.9;4.7;5;5;4.8
ÁLGEBRA LINEAL;2.9;3;3.5;4.9;2.7
ÁLGEBRA LINEAL;2.9;3;2.6;4.9;3.2
ÁLGEBRA LINEAL;3.7;3;2.6;3.7;2.2
ÁLGEBRA LINEAL;4.1;3;2.6;5;3.9
ÁLGEBRA LINEAL;4.8;4.6;5;5;4.9
ÁLGEBRA LINEAL;3.5;2.8;3.3;4.4;2.3
ÁLGEBRA LINEAL;2.7;4.9;2.8;4.5;2.4
ÁLGEBRA LINEAL;2.6;3;2.4;4.6;2.7
ÁLGEBRA LINEAL;2.7;2.5;3;4.4;2.8
ÁLGEBRA LINEAL;1.8;1.7;2.8;4.9;3.9
ÁLGEBRA LINEAL;2.3;3.5;3;4.2;2.3
ÁLGEBRA LINEAL;2.8;3;2.8;1.7;2
ÁLGEBRA LINEAL;3.4;3.8;3;4.4;3.2
ÁLGEBRA LINEAL;2.3;2.9;3;4.4;1.5
ÁLGEBRA LINEAL;3;3.2;3.7;4.7;3.7
ÁLGEBRA LINEAL;2.5;3;3.2;4.4;3.3
ÁLGEBRA LINEAL;3.3;4.9;3.8;4.6;4.6
ÁLGEBRA LINEAL;4.9;3.6;4.1;4.7;2.9
ÁLGEBRA LINEAL;4.3;4.5;4.1;4.4;4.6
ÁLGEBRA LINEAL;3.5;4.8;3.4;4.4;3.9
ÁLGEBRA LINEAL;2.3;3.5;3.7;4.8;1.8
ÁLGEBRA LINEAL;3.6;1.3;3;4.9;2.6
ÁLGEBRA LINEAL;4;3.2;3.8;4.7;3.4
ÁLGEBRA LINEAL;2.7;3.8;3.7;4.6;1.3
ÁLGEBRA LINEAL;2.8;2.1;2.5;4.9;3.3
ÁLGEBRA LINEAL;2.9;4.3;3.8;4.4;3.7
ÁLGEBRA LINEAL;3.7;4.4;3.8;4.9;3.4
ÁLGEBRA LINEAL;3.8;5;4.1;4.9;3.2
ÁLGEBRA LINEAL;3.6;5;4.2;5;4.7
ÁLGEBRA LINEAL;4;3.1;4.9;4;4.4
ÁLGEBRA LINEAL;3.5;3.2;3;4.6;3.3
ÁLGEBRA LINEAL;2.5;2.8;2.2;5;2.9
ÁLGEBRA LINEAL;3.7;5;4.1;4.9;4.5
ÁLGEBRA LINEAL;2.8;2;3.9;4.9;2.8
ÁLGEBRA LINEAL;4.7;5;5;4.8;5
ÁLGEBRA LINEAL;3.3;1.7;2.8;4.6;2.3
ÁLGEBRA LINEAL;3.1;1.3;3;4.5;3.5
ÁLGEBRA LINEAL;2.7;4.6;3.5;3.9;1.7
ÁLGEBRA LINEAL;2.1;1.3;3.6;4.6;2.8
ÁLGEBRA LINEAL;3.1;4.8;2.1;4.3;3.1
ÁLGEBRA LINEAL;4;1.3;2.5;5;1.9
ÁLGEBRA LINEAL;4.4;4.9;3.6;3.8;5
ÁLGEBRA LINEAL;2.2;5;4.9;4.4;5
ÁLGEBRA LINEAL;3.2;2.9;3.4;1.9;5
ÁLGEBRA LINEAL;4.7;5;5;5;4.5
ÁLGEBRA LINEAL;2.3;3.9;3.8;2.3;4
ÁLGEBRA LINEAL;4.1;1.8;3.9;4.3;4.5
ÁLGEBRA LINEAL;4.3;3;3.8;4.8;5
ÁLGEBRA LINEAL;1.2;3;4.1;3.7;4
ÁLGEBRA LINEAL;4.8;3.9;5;4.2;5
ÁLGEBRA LINEAL;4.9;5;4.7;4.6;5
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.3;2.7;4.1;3.7;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.8;2.8;2.7;4.5;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.5;4.7;5;4.5;4.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.1;4.2;3.5;3.7;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.6;3.8;2.4;4.5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.1;1.8;4.6;4.5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;2.9;5;4.5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.3;2.5;4.3;4.6;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;4.8;5;4.5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;1.7;4;4.6;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.6;5;4.6;4.9;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;2.7;2.4;4;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.3;4.3;5;4.4;4.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;3.1;2.9;3.7;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;4;3.7;4;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.4;2.6;0.5;4.9;2.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;3;1.5;3.7;3.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.4;3.8;4.5;3.8;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;1.5;3.2;3.8;3.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;0;0;0.3;0.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.9;1.7;2.3;4.4;2.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;4.8;2.9;3.7;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;1.9;1.7;2.7;4.2;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.1;2.1;1.4;4.8;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.7;5;4.7;4.8;4.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.1;3.5;2.4;5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.3;2;5;4.4;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.1;3.9;4.7;5;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.9;2.5;3.4;5;4.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;1.9;2.3;2.7;3.7;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.1;2;3.7;4.2;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.7;3.1;2.7;4;3.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;4.1;2.7;4;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;1.8;2.2;4.2;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;1.5;0;1.5;1.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.8;2.8;2.1;4;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.5;1.7;2.7;4.1;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.7;4.8;4.2;4.7;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;4.6;3.2;4.4;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.5;2.2;3.3;4.1;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;4;2.5;4.1;3.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.8;4.2;3.5;4.8;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;2.3;1.8;4.1;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;4.3;4.8;4.7;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;2.7;3.8;4.3;4.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.8;3.3;3;4.2;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;3.5;2;4.5;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.3;2.6;3.2;4;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.5;2.8;2.7;4.4;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;4.6;2.2;4.5;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;5;0.5;4;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;4.9;4.7;4.6;4.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;3.4;3.3;4.3;4.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;3.7;2.7;4;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;3.3;3;4.8;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;4.2;4.2;4.4;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.5;4.4;4.5;4.2;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;5;4.2;4.6;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;4.3;1.9;4;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;1.8;2.9;2.6;4;4
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.8;2.1;2.6;4.2;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.9;4.5;3.4;4.5;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.2;2.8;2.3;4.2;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;5;4.3;4.8;4.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;1.7;2.7;4.1;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;4;1.3;4.8;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;1.8;4.8;2.9;3.6;3.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.8;3.5;4.1;4.1;4.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.2;2;2.8;3.9;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;3.9;3;4.3;4.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.2;3.2;2.5;2.9;3
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;3.7;3;4.6;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.2;2.2;2.7;3.9;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.5;3.5;3.5;3.5;3.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;3;3.9;3.6;4.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.2;4.2;4.2;4.2;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;2.5;4.3;2.9;3.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.8;3.8;3.8;3.8;3.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;3.2;4.7;4.1;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;4.4;4.4;4.4;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.7;2.7;2.7;2.7;2.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;3.1;5;4.3;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;4.6;5;4.1;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.2;3.2;3.2;3.2;3.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.2;4.2;4.2;4.2;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.5;4.5;4.5;4.5;4.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;4.4;4.4;4.4;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.6;2.5;3;2.8;3.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.1;3.1;3.1;3.1;3.1
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.9;3.9;3.9;3.9;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;3;4.1;3.6;3.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.1;2;3;4.4;3.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.7;4.1;5;4.1;3.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4;2;3;3.3;4.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;3;2.1;3.8;3.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;3;1;2.5;2.9;3.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;3;2.3;3.6;3.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.4;3.4;3.4;3.4;3.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.6;3.6;3.6;3.6;3.6
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.5;3.5;3.5;3.5;3.5
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.9;4.9;4.9;4.9;4.9
ALGORITMOS Y ESTRUCTURAS DE DATOS;3.8;3.8;3.8;3.8;3.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;4.7;5;4.7;4.8
ALGORITMOS Y ESTRUCTURAS DE DATOS;3;3;3.7;1.9;3
ALGORITMOS Y ESTRUCTURAS DE DATOS;5;2.2;3.8;3;4.2
ALGORITMOS Y ESTRUCTURAS DE DATOS;2.3;2.3;2.3;2.3;2.3
ALGORITMOS Y ESTRUCTURAS DE DATOS;3;3;2.1;3.9;4.4
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.7;4.7;4.7;4.7;4.7
ALGORITMOS Y ESTRUCTURAS DE DATOS;4.4;3.7;4;4.4;4.7
AMÉRICA LATINA: SENTIR PARA CREAR;4.7;4.6;4.2;;
AMÉRICA LATINA: SENTIR PARA CREAR;4.7;4.6;5;;
ANÁLISIS DE ARGUMENTOS;3.3;3.3;4;;
ANÁLISIS DE ARGUMENTOS;3.6;4.2;4;;
ANÁLISIS DE ARGUMENTOS;2.8;2.7;4.4;;
ANÁLISIS DE ARGUMENTOS;3;3.6;4;;
ANÁLISIS DE ARGUMENTOS;2.6;3.8;4;;
ANÁLISIS DE ARGUMENTOS;3.8;3.3;4.7;;
ANÁLISIS DE ARGUMENTOS;4.3;4.4;5;;
ANÁLISIS DE ARGUMENTOS;3.4;3;4.2;;
ANÁLISIS DE ARGUMENTOS;3.4;3;4;;
ANÁLISIS DE ARGUMENTOS;2.7;3.8;3.6;;
ANÁLISIS DE ARGUMENTOS;3.2;3.7;3.6;;
ANÁLISIS DE ARGUMENTOS;4.2;3;4.3;;
ANÁLISIS DE ARGUMENTOS;3.8;3;4;;
ANÁLISIS DE ARGUMENTOS;3.2;3.5;3.3;;
ANÁLISIS DE ARGUMENTOS;2.7;2.9;3.8;;
ANÁLISIS DE ARGUMENTOS;4.2;3.2;4.6;;
ANÁLISIS DE ARGUMENTOS;2.7;3.8;3.2;;
ANÁLISIS DE ARGUMENTOS;3.4;2.8;3.9;;
ANÁLISIS DE ARGUMENTOS;3.4;3.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4;3.1;3.2;;
ANÁLISIS DE ARGUMENTOS;2.2;2;3.6;;
ANÁLISIS DE ARGUMENTOS;2.2;2.3;4.2;;
ANÁLISIS DE ARGUMENTOS;3.8;3;3.7;;
ANÁLISIS DE ARGUMENTOS;3.1;3.3;3.6;;
ANÁLISIS DE ARGUMENTOS;3.9;2.9;3.6;;
ANÁLISIS DE ARGUMENTOS;3.7;3.5;4.1;;
ANÁLISIS DE ARGUMENTOS;3.9;3.2;3.7;;
ANÁLISIS DE ARGUMENTOS;3.9;4.6;3.9;;
ANÁLISIS DE ARGUMENTOS;3.9;3.8;4.2;;
ANÁLISIS DE ARGUMENTOS;4.5;4.8;4.7;;
ANÁLISIS DE ARGUMENTOS;3.9;2.8;3.2;;
ANÁLISIS DE ARGUMENTOS;3.9;3.8;3.4;;
ANÁLISIS DE ARGUMENTOS;4.4;3.8;3.1;;
ANÁLISIS DE ARGUMENTOS;4;4.9;4.5;;
ANÁLISIS DE ARGUMENTOS;4.3;5;4.9;;
ANÁLISIS DE ARGUMENTOS;3.9;5;5;;
ANÁLISIS DE ARGUMENTOS;3.8;4.3;4.7;;
ANÁLISIS DE ARGUMENTOS;3.8;4;5;;
ANÁLISIS DE ARGUMENTOS;3.7;4.2;4.5;;
ANÁLISIS DE ARGUMENTOS;3.9;3.6;4;;
ANÁLISIS DE ARGUMENTOS;4;5;4.4;;
ANÁLISIS DE ARGUMENTOS;3;4.5;4.4;;
ANÁLISIS DE ARGUMENTOS;4.1;3.6;4.1;;
ANÁLISIS DE ARGUMENTOS;5;4;4.5;;
ANÁLISIS DE ARGUMENTOS;4.1;4.7;5;;
ANÁLISIS DE ARGUMENTOS;4.1;4.3;4.8;;
ANÁLISIS DE ARGUMENTOS;4.2;5;5;;
ANÁLISIS DE ARGUMENTOS;3.5;4.3;4.7;;
ANÁLISIS DE ARGUMENTOS;3.8;4.7;4.9;;
ANÁLISIS DE ARGUMENTOS;5;5;5;;
ANÁLISIS DE ARGUMENTOS;4;4.1;4.3;;
ANÁLISIS DE ARGUMENTOS;3.7;4.6;5;;
ANÁLISIS DE ARGUMENTOS;4;4.4;4.4;;
ANÁLISIS DE ARGUMENTOS;3.6;5;5;;
ANÁLISIS DE ARGUMENTOS;4.1;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.3;4.7;5;;
ANÁLISIS DE ARGUMENTOS;4.4;4.6;5;;
ANÁLISIS DE ARGUMENTOS;4.5;5;4.8;;
ANÁLISIS DE ARGUMENTOS;4;3.9;4.7;;
ANÁLISIS DE ARGUMENTOS;4.2;4.2;4.8;;
ANÁLISIS DE ARGUMENTOS;3.9;4;4.5;;
ANÁLISIS DE ARGUMENTOS;4;4.6;4.4;;
ANÁLISIS DE ARGUMENTOS;4.5;5;5;;
ANÁLISIS DE ARGUMENTOS;4.6;5;5;;
ANÁLISIS DE ARGUMENTOS;4.8;3.9;4.3;;
ANÁLISIS DE ARGUMENTOS;4.9;4;5;;
ANÁLISIS DE ARGUMENTOS;4.3;5;4.9;;
ANÁLISIS DE ARGUMENTOS;3.8;3.8;4.5;;
ANÁLISIS DE ARGUMENTOS;3.5;4.3;4.6;;
ANÁLISIS DE ARGUMENTOS;4.8;5;5;;
ANÁLISIS DE ARGUMENTOS;4;4.4;4.5;;
ANÁLISIS DE ARGUMENTOS;4;4.5;5;;
ANÁLISIS DE ARGUMENTOS;4.7;4.5;4.5;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;3.8;;
ANÁLISIS DE ARGUMENTOS;4.4;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;3.5;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.2;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;3.1;4.5;4.6;;
ANÁLISIS DE ARGUMENTOS;3.7;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;3.7;4.5;4.4;;
ANÁLISIS DE ARGUMENTOS;4.5;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4;4.5;4.3;;
ANÁLISIS DE ARGUMENTOS;4;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;4.5;;
ANÁLISIS DE ARGUMENTOS;4.5;4.5;4.8;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;4.4;;
ANÁLISIS DE ARGUMENTOS;4.2;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;3.5;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;3.9;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.4;4.5;4.7;;
ANÁLISIS DE ARGUMENTOS;4.2;4.5;4.6;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;4.5;;
ANÁLISIS DE ARGUMENTOS;4.1;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.6;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4;4.5;4.3;;
ANÁLISIS DE ARGUMENTOS;4.7;4.5;4.5;;
ANÁLISIS DE ARGUMENTOS;4;4.5;3.8;;
ANÁLISIS DE ARGUMENTOS;0.7;0;0;;
ANÁLISIS DE ARGUMENTOS;3.8;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.3;4.5;2.5;;
ANÁLISIS DE ARGUMENTOS;3.7;4.5;4.2;;
ANÁLISIS DE ARGUMENTOS;4.5;4.5;4.5;;
ANÁLISIS DE ARGUMENTOS;4.1;4.5;4.3;;
ANÁLISIS DE TEXTOS;4.2;4.2;4;;
ANÁLISIS DE TEXTOS;4.2;4.3;4.2;;
ANÁLISIS DE TEXTOS;4;4.1;4.2;;
ANÁLISIS DE TEXTOS;4;4.2;4.2;;
ANÁLISIS DE TEXTOS;4;4;4;;
ANÁLISIS DE TEXTOS;4;4.3;4.1;;
ANÁLISIS DE TEXTOS;4.5;4.5;4.7;;
ANÁLISIS DE TEXTOS;4.8;4.8;4.9;;
ANÁLISIS DE TEXTOS;4.3;4.3;4;;
ANÁLISIS DE TEXTOS;4.4;4.5;4.9;;
ANÁLISIS DE TEXTOS;4;4;4.2;;
